序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
70,嘉義,2017/01/29,02:01:00,"1,013.5",16,87,東北,0.6,0,-
71,嘉義,2017/01/29,01:01:00,"1,014",17.1,87,靜風,0.1,0,-
72,嘉義,2017/01/29,00:01:00,"1,014.6",18.5,84,北,0.9,0,-
73,嘉義,2017/01/28,23:01:00,"1,014.3",17.5,87,西,0.8,0,-
74,嘉義,2017/01/28,22:01:00,"1,014.3",17.6,86,靜風,0,0,-
75,嘉義,2017/01/28,21:01:00,"1,014.3",18,84,北,1.5,0,-
76,嘉義,2017/01/28,20:01:00,"1,014.3",18.4,83,西北,0.3,0,-
77,嘉義,2017/01/28,19:01:00,"1,014",18.8,81,北北西,0.4,0,0
78,嘉義,2017/01/28,18:01:00,"1,013.5",19.7,78,北北西,1.7,0,0.1
79,嘉義,2017/01/28,17:01:00,"1,013",21.2,71,北北西,2.4,0,0.8
80,嘉義,2017/01/28,16:01:00,"1,012.6",23.2,66,西北,3,0,1
81,嘉義,2017/01/28,15:01:00,"1,012.4",24.6,61,西北,2.9,0,1
82,嘉義,2017/01/28,14:01:00,"1,012.6",26.6,45,西,2,0,1
83,嘉義,2017/01/28,13:01:00,"1,013.4",25.7,43,西北西,1.3,0,1
84,嘉義,2017/01/28,12:01:00,"1,014.4",24.2,48,西南,2.3,0,1
85,嘉義,2017/01/28,11:01:00,"1,015.3",21.9,51,西,2,0,1
86,嘉義,2017/01/28,10:01:00,"1,015.9",19.4,63,西南,2.1,0,1
87,嘉義,2017/01/28,09:01:00,"1,015.9",17.9,68,北北西,1.3,0,1
88,嘉義,2017/01/28,08:01:00,"1,015.5",15.2,90,北北東,2.2,0,1
89,嘉義,2017/01/28,07:01:00,"1,015.5",13.1,86,北,1.9,0,0
90,嘉義,2017/01/28,06:01:00,"1,015.2",12.6,88,東北,1.1,0,0
91,嘉義,2017/01/28,05:01:00,"1,015",12.1,88,北,0.7,0,-
92,嘉義,2017/01/28,04:01:00,"1,014.7",12.4,87,東北,1.3,0,-
93,嘉義,2017/01/28,03:01:00,"1,015.6",12.6,88,靜風,0.2,0,-
94,嘉義,2017/01/28,02:01:00,"1,016.3",13.2,87,靜風,0.2,0,-
95,嘉義,2017/01/28,01:01:00,"1,016.6",13.6,87,靜風,0.2,0,-
96,嘉義,2017/01/28,00:01:00,"1,014.2",17.8,88,靜風,0.1,0,-
97,嘉義,2017/01/27,23:01:00,"1,017",15.1,84,靜風,0,0,-
98,嘉義,2017/01/27,22:01:00,"1,017.4",15.9,82,北,0.7,0,-
99,嘉義,2017/01/27,21:01:00,"1,017.4",16.4,80,北,1.5,0,-
100,嘉義,2017/01/27,20:01:00,"1,017.1",17.2,78,北,2,0,-
101,嘉義,2017/01/27,19:01:00,"1,016.7",18.1,75,北,2.4,0,0
102,嘉義,2017/01/27,18:01:00,"1,016.5",19.1,71,北北西,2.8,0,0.2
103,嘉義,2017/01/27,17:01:00,"1,016",21.4,60,北北西,3.4,0,0.8
104,嘉義,2017/01/27,16:01:00,"1,015.7",23.8,42,北,3.7,0,1
105,嘉義,2017/01/27,15:01:00,"1,015.6",24.3,45,北,4.2,0,1
106,嘉義,2017/01/27,14:01:00,"1,016.3",24.4,44,北北西,3.9,0,1
107,嘉義,2017/01/27,13:01:00,"1,017.1",24.8,46,北,3.5,0,1
108,嘉義,2017/01/27,12:01:00,"1,018.5",23.6,48,北北西,3,0,1
109,嘉義,2017/01/27,11:01:00,"1,019.4",21.9,55,北,2.9,0,1
110,嘉義,2017/01/27,10:01:00,"1,019.9",20.6,60,北,2.8,0,1
111,嘉義,2017/01/27,09:01:00,"1,020.5",17.4,72,北北東,1.3,0,1
112,嘉義,2017/01/27,08:01:00,"1,020.4",14.9,88,北,2.2,0,0.8
113,嘉義,2017/01/27,07:01:00,"1,019.7",13,88,北北東,3.1,0,0
114,嘉義,2017/01/27,06:01:00,"1,019.4",12.8,87,北北東,1.7,0,0
115,嘉義,2017/01/27,05:01:00,"1,018.9",12.6,88,靜風,0,0,-
116,嘉義,2017/01/27,04:01:00,"1,018.6",12.4,87,北北東,0.9,0,-
117,嘉義,2017/01/27,03:01:00,"1,018.8",12.8,87,北北東,0.4,0,-
118,嘉義,2017/01/27,02:01:00,"1,019.2",13.4,87,東北東,0.9,0,-
119,嘉義,2017/01/27,01:01:00,"1,019.4",14.2,85,靜風,0.1,0,-
120,嘉義,2017/01/27,00:01:00,"1,016.8",14.5,85,靜風,0,0,-
121,嘉義,2017/01/26,23:01:00,"1,019",15.1,82,,0.3,0,-
122,嘉義,2017/01/26,22:01:00,"1,018.9",15.5,81,,0.2,0,-
123,嘉義,2017/01/26,21:01:00,"1,018.5",16.5,75,,1,0,-
124,嘉義,2017/01/26,20:01:00,"1,018.6",16.9,73,,1.9,0,-
125,嘉義,2017/01/26,19:01:00,"1,017.9",17.4,70,,1.8,0,0
126,嘉義,2017/01/26,18:01:00,"1,017.3",18.7,64,,2.9,0,0
127,嘉義,2017/01/26,17:01:00,"1,016.8",20.6,57,,2.5,0,0.8
128,嘉義,2017/01/26,16:01:00,"1,016.1",22.1,56,,3.2,0,1
129,嘉義,2017/01/26,15:01:00,"1,015.8",23.5,47,,1.6,0,1
130,嘉義,2017/01/26,14:01:00,"1,016.2",23.1,47,,0.6,0,1
131,嘉義,2017/01/26,13:01:00,"1,017.4",22.2,51,,2.3,0,1
132,嘉義,2017/01/26,12:01:00,"1,019.1",20.7,55,,3.1,0,1
133,嘉義,2017/01/26,11:01:00,"1,019.9",19.4,63,,2.4,0,1
134,嘉義,2017/01/26,10:01:00,"1,020.6",18,65,,2.4,0,1
135,嘉義,2017/01/26,09:01:00,"1,020.9",16,70,,2.8,0,1
136,嘉義,2017/01/26,08:01:00,"1,020.8",14.3,77,,2.6,0,0.2
137,嘉義,2017/01/26,07:01:00,"1,020.5",13.6,77,,2.7,0,0
138,嘉義,2017/01/26,06:01:00,"1,020.2",13.9,78,,2.4,0,0
139,嘉義,2017/01/26,05:01:00,"1,019.7",14.1,76,,2.9,0,-
140,嘉義,2017/01/26,04:01:00,"1,019.5",14.2,76,,3.5,0,-
141,嘉義,2017/01/26,03:01:00,"1,019.7",14.1,77,,3.4,0,-
142,嘉義,2017/01/26,02:01:00,"1,020.2",13.9,78,,2.9,0,-
143,嘉義,2017/01/26,01:01:00,"1,020.7",13.8,78,,2.5,0,-
144,嘉義,2017/01/26,00:01:00,"1,019.2",14.6,85,,0,0,-
145,嘉義,2017/01/25,23:01:00,"1,020.9",14.6,77,北,2.7,0,-
146,嘉義,2017/01/25,22:01:00,"1,021.2",15,76,北,3.7,0,-
147,嘉義,2017/01/25,21:01:00,"1,021",15.5,75,北,3.3,0,-
148,嘉義,2017/01/25,20:01:00,"1,020.6",16,73,北,3.9,0,-
149,嘉義,2017/01/25,19:01:00,"1,020.1",16.8,70,北,4.1,0,0
150,嘉義,2017/01/25,18:01:00,"1,019.5",17.7,68,北,3.4,0,0.1
151,嘉義,2017/01/25,17:01:00,"1,018.9",19.2,63,北,4.5,0,0.8
152,嘉義,2017/01/25,16:01:00,"1,018.5",21.3,61,北,4.2,0,1
153,嘉義,2017/01/25,15:01:00,"1,018.5",22.4,54,北,4.4,0,0.6
154,嘉義,2017/01/25,14:01:00,"1,019.1",21.6,58,北,3.9,0,0.1
155,嘉義,2017/01/25,13:01:00,"1,019.5",20.8,61,北,3.9,0,0
156,嘉義,2017/01/25,12:01:00,"1,020.9",19.5,63,北,3.8,0,0.1
157,嘉義,2017/01/25,11:01:00,"1,021.7",18.8,66,北,3.3,0,0
158,嘉義,2017/01/25,10:01:00,"1,021.7",17.6,70,北,2.9,0,0
159,嘉義,2017/01/25,09:01:00,"1,021.6",16.4,74,北北東,3.2,0,0
160,嘉義,2017/01/25,08:01:00,"1,021.9",15.2,76,北,2.2,0,0
161,嘉義,2017/01/25,07:01:00,"1,021.3",14.6,80,北北東,1.6,0,0
162,嘉義,2017/01/25,06:01:00,"1,021",14.8,78,北北西,1.8,0,0
163,嘉義,2017/01/25,05:01:00,"1,020.7",14.8,78,北,2.1,0,-
164,嘉義,2017/01/25,04:01:00,"1,020.7",15,75,北,2.5,0,-
165,嘉義,2017/01/25,03:01:00,"1,021.1",15,76,北,1.7,0,-
166,嘉義,2017/01/25,02:01:00,"1,021.4",15.2,74,北,1.9,0,-
167,嘉義,2017/01/25,01:01:00,"1,021.8",15.2,74,北,2.1,0,-
168,嘉義,2017/01/25,00:01:00,"1,020.7",14.3,78,北,2.5,0,-
169,嘉義,2017/01/24,23:01:00,"1,022.7",15.5,72,北,2.8,0,-
170,嘉義,2017/01/24,22:01:00,"1,022.7",15.8,72,北,2.1,0,-
171,嘉義,2017/01/24,21:01:00,"1,022.4",16.2,72,北北西,2.5,0,-
172,嘉義,2017/01/24,20:01:00,"1,021.9",17,70,北,2.6,0,-
173,嘉義,2017/01/24,19:01:00,"1,021.4",17.2,71,北,2.3,0,0
174,嘉義,2017/01/24,18:01:00,"1,020.7",17.9,69,北北西,2.5,0,0
175,嘉義,2017/01/24,17:01:00,"1,020.1",19.6,64,北北西,2.8,0,0.4
176,嘉義,2017/01/24,16:01:00,"1,019.5",21,60,北北西,3.5,0,0.7
177,嘉義,2017/01/24,15:01:00,"1,019.4",21.6,57,北北西,2.5,0,0.2
178,嘉義,2017/01/24,14:01:00,"1,019.5",22.5,55,北北西,2.7,0,0.1
179,嘉義,2017/01/24,13:01:00,"1,020.4",21.9,55,北北西,2,0,0.1
180,嘉義,2017/01/24,12:01:00,"1,021.3",20.7,57,北,2,0,0.5
181,嘉義,2017/01/24,11:01:00,"1,022.2",19.4,60,北,2.2,0,0.2
182,嘉義,2017/01/24,10:01:00,"1,022.6",17.3,64,北北東,1.1,0,0.2
183,嘉義,2017/01/24,09:01:00,"1,022.4",16.1,68,北,1.5,0,0.1
184,嘉義,2017/01/24,08:01:00,"1,021.9",15.3,71,北北西,1.4,0,0
185,嘉義,2017/01/24,07:01:00,"1,021.4",14.6,72,北北東,0.6,0,0
186,嘉義,2017/01/24,06:01:00,"1,021",14.6,71,北,1.7,0,0
187,嘉義,2017/01/24,05:01:00,"1,020.4",14.8,71,北,1.3,0,-
188,嘉義,2017/01/24,04:01:00,"1,020.4",14.8,71,北,1.8,0,-
189,嘉義,2017/01/24,03:01:00,"1,020.8",15,70,西北,0.6,0,-
190,嘉義,2017/01/24,02:01:00,"1,021.1",15.3,69,北北西,0.3,0,-
191,嘉義,2017/01/24,01:01:00,"1,021.5",15.4,67,北,0.9,0,-
192,嘉義,2017/01/24,00:01:00,"1,022.3",15.2,74,北,2.3,0,-
193,嘉義,2017/01/23,23:01:00,"1,021.7",15.5,67,西北西,0.5,0,-
194,嘉義,2017/01/23,22:01:00,"1,021.3",16,65,西北,1,0,-
195,嘉義,2017/01/23,21:01:00,"1,021",16.6,62,北,1.4,0,-
196,嘉義,2017/01/23,20:01:00,"1,020.7",16.9,62,北,1.3,0,-
197,嘉義,2017/01/23,19:01:00,"1,020.4",17.5,61,北北西,1.8,0,0
198,嘉義,2017/01/23,18:01:00,"1,019.9",18.6,59,北北西,2.5,0,0
199,嘉義,2017/01/23,17:01:00,"1,019.1",20,57,北北西,2.3,0,0.2
200,嘉義,2017/01/23,16:01:00,"1,018.6",21.8,53,北北西,2.9,0,0.3
201,嘉義,2017/01/23,15:01:00,"1,018.3",22.7,53,北北西,2.3,0,0.2
202,嘉義,2017/01/23,14:01:00,"1,018.9",22.6,53,西北,1.4,0,0.7
203,嘉義,2017/01/23,13:01:00,"1,019.6",22.2,53,西北西,1.8,0,0.7
204,嘉義,2017/01/23,12:01:00,"1,020.6",22.2,54,西北西,1.6,0,0.7
205,嘉義,2017/01/23,11:01:00,"1,021.8",20.3,57,北,0.8,0,1
206,嘉義,2017/01/23,10:01:00,"1,021.9",18.3,60,西北,1.3,0,1
207,嘉義,2017/01/23,09:01:00,"1,021.9",16.3,64,北北東,1.8,0,0.5
208,嘉義,2017/01/23,08:01:00,"1,021.7",14.2,69,北,1.8,0,0
209,嘉義,2017/01/23,07:01:00,"1,021.1",13.4,69,北,2.1,0,0
210,嘉義,2017/01/23,06:01:00,"1,020.4",13.3,73,靜風,0.2,0,0
211,嘉義,2017/01/23,05:01:00,"1,019.8",13.8,71,北,0.8,0,-
212,嘉義,2017/01/23,04:01:00,"1,019.9",13.7,70,北,1.7,0,-
213,嘉義,2017/01/23,03:01:00,"1,020",14,67,北北東,1.6,0,-
214,嘉義,2017/01/23,02:01:00,"1,020.4",14.1,65,北,1.8,0,-
215,嘉義,2017/01/23,01:01:00,"1,020.1",14.2,64,北,1,0,-
216,嘉義,2017/01/23,00:01:00,"1,021.6",15.3,67,北,0.5,0,-
217,嘉義,2017/01/22,23:01:00,"1,020.7",14.4,63,北,1.4,0,-
218,嘉義,2017/01/22,22:01:00,"1,021",14.9,61,北,1.4,0,-
219,嘉義,2017/01/22,21:01:00,"1,020.9",15.3,60,北,2.4,0,-
220,嘉義,2017/01/22,20:01:00,"1,020.4",15.9,60,北,1.9,0,-
221,嘉義,2017/01/22,19:01:00,"1,019.5",16.7,59,北,3,0,0
222,嘉義,2017/01/22,18:01:00,"1,018.8",17.5,61,西北,2,0,0
223,嘉義,2017/01/22,17:01:00,"1,018.3",19.3,53,西北,2.5,0,0.8
224,嘉義,2017/01/22,16:01:00,"1,017.9",21.4,50,北北西,3,0,1
225,嘉義,2017/01/22,15:01:00,"1,017.7",22.4,46,北北西,3.2,0,0.9
226,嘉義,2017/01/22,14:01:00,"1,018.3",23.2,43,北,3,0,0.9
227,嘉義,2017/01/22,13:01:00,"1,019.2",21.9,45,北,3.8,0,1
228,嘉義,2017/01/22,12:01:00,"1,020.6",21.3,49,北,3.2,0,0.9
229,嘉義,2017/01/22,11:01:00,"1,021.7",20,56,北,2.7,0,1
230,嘉義,2017/01/22,10:01:00,"1,022.4",18,61,北,2.6,0,0.9
231,嘉義,2017/01/22,09:01:00,"1,022.3",15.9,68,北,2.7,0,0.5
232,嘉義,2017/01/22,08:01:00,"1,022.2",14.6,74,北,2.3,0,0
233,嘉義,2017/01/22,07:01:00,"1,021.9",13.7,76,北北東,2.2,0,0
234,嘉義,2017/01/22,06:01:00,"1,021.7",13.7,76,東北,1.4,0,0
235,嘉義,2017/01/22,05:01:00,"1,021.2",13.6,77,北,1.6,0,-
236,嘉義,2017/01/22,04:01:00,"1,020.9",13.7,77,北,2,0,-
237,嘉義,2017/01/22,03:01:00,"1,021.1",13.6,77,北,2.3,0,-
238,嘉義,2017/01/22,02:01:00,"1,021.2",13.6,77,北,2.4,0,-
239,嘉義,2017/01/22,01:01:00,"1,021.4",13.6,78,北北東,2.5,0,-
240,嘉義,2017/01/22,00:01:00,"1,020.2",14.2,64,北,2.2,0,-
241,嘉義,2017/01/21,23:01:00,"1,021.2",13.8,77,北北東,2.6,0,-
242,嘉義,2017/01/21,22:01:00,"1,021.3",14.3,75,北,2.9,0,-
243,嘉義,2017/01/21,21:01:00,"1,021",14.5,75,北,3,0,-
244,嘉義,2017/01/21,20:01:00,"1,020.5",15,73,北,3.3,0,-
245,嘉義,2017/01/21,19:01:00,"1,019.9",15.8,70,北,2.7,0,0
246,嘉義,2017/01/21,18:01:00,"1,019.1",17.1,66,北北西,1.9,0,0
247,嘉義,2017/01/21,17:01:00,"1,018.4",18.5,61,北,3.3,0,0.8
248,嘉義,2017/01/21,16:01:00,"1,018.2",19.6,59,北,4.4,0,1
249,嘉義,2017/01/21,15:01:00,"1,017.7",20.7,54,北北西,3.7,0,0.5
250,嘉義,2017/01/21,14:01:00,"1,017.6",21.1,57,東北東,2.8,0,0.5
251,嘉義,2017/01/21,13:01:00,"1,019.4",19.2,57,北,2.4,0,0
252,嘉義,2017/01/21,12:01:00,"1,020.2",17.9,59,北,2.4,0,0.1
253,嘉義,2017/01/21,11:01:00,"1,021.4",16.2,62,北,2.5,0,0
254,嘉義,2017/01/21,10:01:00,"1,022.4",15.2,64,北,2.8,0,0
255,嘉義,2017/01/21,09:01:00,"1,022.2",14.3,66,北,3,0,0
256,嘉義,2017/01/21,08:01:00,"1,021.4",13.7,66,北,3.4,0,0
257,嘉義,2017/01/21,07:01:00,"1,020.6",13.4,65,北,3.6,0,0
258,嘉義,2017/01/21,06:01:00,"1,020.1",13.6,65,北,3.1,0,0
259,嘉義,2017/01/21,05:01:00,"1,019.5",13.4,66,北,3.2,0,-
260,嘉義,2017/01/21,04:01:00,"1,019.4",13.5,64,北,3.4,0,-
261,嘉義,2017/01/21,03:01:00,"1,018.9",13.5,64,北,3,0,-
262,嘉義,2017/01/21,02:01:00,"1,019.1",13.5,64,北,3,0,-
263,嘉義,2017/01/21,01:01:00,"1,019",13.6,64,北,3,0,-
264,嘉義,2017/01/21,00:01:00,"1,021.3",13.7,78,北,2,0,-
265,嘉義,2017/01/20,23:01:00,"1,019",13.3,66,北,2.9,0,-
266,嘉義,2017/01/20,22:01:00,"1,019.1",13.2,68,北,3.5,0,-
267,嘉義,2017/01/20,21:01:00,"1,018.9",13.5,67,北,2.8,0,-
268,嘉義,2017/01/20,20:01:00,"1,018.2",14,68,北,3,0,-
269,嘉義,2017/01/20,19:01:00,"1,017.8",14.4,68,北,3.1,0,0
270,嘉義,2017/01/20,18:01:00,"1,016.9",15.7,65,北,4.5,0,0
271,嘉義,2017/01/20,17:01:00,"1,016.2",17.5,62,北,4.2,0,0.7
272,嘉義,2017/01/20,16:01:00,"1,015.6",19.9,58,北北西,4.2,0,1
273,嘉義,2017/01/20,15:01:00,"1,015.2",21.2,58,北北西,4,0,1
274,嘉義,2017/01/20,14:01:00,"1,015.6",22.1,57,北,4.3,0,1
275,嘉義,2017/01/20,13:01:00,"1,016.2",22.4,58,北北西,2.6,0,1
276,嘉義,2017/01/20,12:01:00,"1,017.5",21.6,61,北北西,3.1,0,0.6
277,嘉義,2017/01/20,11:01:00,"1,018.5",20.3,68,北,2.9,0,0.2
278,嘉義,2017/01/20,10:01:00,"1,018.9",18,73,北,4,0,0
279,嘉義,2017/01/20,09:01:00,"1,018.5",17.1,76,北,3.6,0,0
280,嘉義,2017/01/20,08:01:00,"1,017.9",16.5,79,北,3.9,0,0
281,嘉義,2017/01/20,07:01:00,"1,017.3",16.9,79,北,3.5,0,0
282,嘉義,2017/01/20,06:01:00,"1,016.6",17.4,81,北,4.5,0,0
283,嘉義,2017/01/20,05:01:00,"1,016.1",18,83,北,3,0,-
284,嘉義,2017/01/20,04:01:00,"1,015.9",17.8,85,北,2.7,0,-
285,嘉義,2017/01/20,03:01:00,"1,016.1",17.5,86,北,2.5,0,-
286,嘉義,2017/01/20,02:01:00,"1,016.3",17.5,86,北,2.2,0,-
287,嘉義,2017/01/20,01:01:00,"1,016.1",17.7,85,北,1.6,0,-
288,嘉義,2017/01/20,00:01:00,"1,019.1",13.5,64,北,3.5,0,-
289,嘉義,2017/01/19,23:01:00,"1,015.9",18.1,83,北北東,1.6,0,-
290,嘉義,2017/01/19,22:01:00,"1,015.9",18.5,82,北,2.5,0,-
291,嘉義,2017/01/19,21:01:00,"1,015.7",18.9,81,北,2.1,0,-
292,嘉義,2017/01/19,20:01:00,"1,015.3",19.4,79,北,2.4,0,-
293,嘉義,2017/01/19,19:01:00,"1,014.9",20,77,北,2.9,0,0
294,嘉義,2017/01/19,18:01:00,"1,014.5",20.8,74,北,3.6,0,0
295,嘉義,2017/01/19,17:01:00,"1,014",21.9,71,北,4.7,0,0.7
296,嘉義,2017/01/19,16:01:00,"1,013.5",23.8,67,西北,3.5,0,1
297,嘉義,2017/01/19,15:01:00,"1,013.3",26.8,59,北北西,2.8,0,1
298,嘉義,2017/01/19,14:01:00,"1,013.5",27.3,58,北北西,2.3,0,1
299,嘉義,2017/01/19,13:01:00,"1,014.5",27.4,52,北,2.7,0,1
300,嘉義,2017/01/19,12:01:00,"1,015.9",26.1,59,北,2.9,0,1
301,嘉義,2017/01/19,11:01:00,"1,017.2",24.3,65,北北西,3.4,0,1
302,嘉義,2017/01/19,10:01:00,"1,017.7",22.5,73,北,2.9,0,1
303,嘉義,2017/01/19,09:01:00,"1,018.2",20.6,80,北北東,2.9,0,0.8
304,嘉義,2017/01/19,08:01:00,"1,018",18.6,88,北北東,2,0,0
305,嘉義,2017/01/19,07:01:00,"1,017.5",17.6,87,靜風,0,0,0
306,嘉義,2017/01/19,06:01:00,"1,017.1",18,86,東北,0.3,0,0
307,嘉義,2017/01/19,05:01:00,"1,017.1",18.3,86,北北東,2.3,0,-
308,嘉義,2017/01/19,04:01:00,"1,017.1",18.4,87,北北東,3.2,0,-
309,嘉義,2017/01/19,03:01:00,"1,017",17.9,88,西北西,0.3,0,-
310,嘉義,2017/01/19,02:01:00,"1,016.7",17.9,86,北,1.1,0,-
311,嘉義,2017/01/19,01:01:00,"1,017.1",18.5,86,北北東,2.4,0,-
312,嘉義,2017/01/19,00:01:00,"1,015.9",17.7,85,北北東,0.3,0,-
313,嘉義,2017/01/18,23:01:00,"1,017.5",18.4,85,北,0.9,0,-
314,嘉義,2017/01/18,22:01:00,"1,017.6",18.7,84,北北東,2.4,0,-
315,嘉義,2017/01/18,21:01:00,"1,017.6",19,83,北,2.5,0,-
316,嘉義,2017/01/18,20:01:00,"1,017",19.1,82,北北西,1.8,0,-
317,嘉義,2017/01/18,19:01:00,"1,016.6",19.7,80,北北西,1.9,0,0
318,嘉義,2017/01/18,18:01:00,"1,016.1",20.5,77,北,3,0,0
319,嘉義,2017/01/18,17:01:00,"1,015.9",21.5,73,北,3.3,0,0.2
